Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"БЕРЕЗОВАЯ УЛ., УГ. ДЕТСКОСЕЛЬСКОЙ УЛ.";"";"ул. Берёзовая, ул. Мичурина";"59,68607564";"30,4324646";"Остановка";"338,370,372,375А,379,383,545"
""СТ. МЕТРО "ЛЕСНАЯ"";""СТ. МЕТРО "ЛЕСНАЯ"";"Лесной проспект, ул. Кантемировская";"59,98453075";"30,3419266";"Остановка";"1М,1МА"
""СТ. МЕТРО "ВЫБОРГСКАЯ"";""СТ. МЕТРО "ВЫБОРГСКАЯ"";"Лесной проспект, ул. Гренадерская";"59,9698152";"30,3486252";"Остановка";"1М,1МА"
""СТ. МЕТРО "ПЛ. ЛЕНИНА"";""СТ. МЕТРО "ПЛ. ЛЕНИНА"";"ул. Академика Лебедева, ул. Боткинская";"59,95838615";"30,3532219";"Остановка";"1М"
""СТ. МЕТРО "ВЫБОРГСКАЯ"";""СТ. МЕТРО "ВЫБОРГСКАЯ"";"Лесной проспект, улица Смолячкова";"59,97207114";"30,3482113";"Остановка";"1М,1МА"
"УЛ. АЛЕКСАНДРА МАТРОСОВА";"УЛ. АЛЕКСАНДРА МАТРОСОВА";"Лесной проспект, ул. Александра Матросова";"59,98213556";"30,3435764";"Остановка";"1М,1МА"
"БАЛТИЙСКИЙ ВОКЗАЛ";"БАЛТИЙСКИЙ ВОКЗАЛ";"набережная Обводного канала, Лермонтовский проспект";"59,90933293";"30,2970257";"Остановка";"1МБ"
"Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ";"Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ";"ул. Халтурина, бульвар Красных Курсантов";"59,88032886";"29,8641281";"Остановка";"349,353"
"САДОВАЯ УЛ., УГ. ГОСПИТАЛЬНОЙ УЛ.";"";"ул. Госпитальная, ул. Садовая";"59,68565505";"30,4453564";"Остановка";"370,372,375А,383"
"КОНЮШЕННАЯ УЛ., УГ. САДОВОЙ УЛ.";"";"ул. Конюшенная, ул. Садовая";"59,68662723";"30,4437046";"Остановка";"370,372"
"ГУММОЛОСАРОВСКАЯ УЛ.";"";"ул. Гуммолосаровская, ул. Васенко";"59,68268662";"30,4353676";"Остановка";"370,372,375А,379"
"РОССИЙСКИЙ ПР., 14";"";"Российский проспект, ул. Чудновского";"59,92815864";"30,4733238";"Остановка";"4М,4МА"
"Морской вокзал № 4";"";"";"59,95275052";"30,1880951";"Остановка";"158"
"Морской вокзал № 3";"";"";"59,94912857";"30,1961098";"Остановка";"158"
"Морской вокзал № 2";"";"";"59,94543097";"30,1931286";"Остановка";"158"
"Морской вокзал № 1";"";"";"59,94378556";"30,183836";"Остановка";"158"
"ПУШКИНСКАЯ УЛ., УГ. ДВОРЦОВОЙ УЛ.";"";"ул. Дворцовая, ул. Пушкинская";"59,72351472";"30,3995304";"Остановка";"371"
"ПЕТЕРБУРГСКОЕ ШОССЕ, УГ. ЛЕНИНГРАДСКОЙ УЛ.";"";"Ленинградская ул., сдт Пенсионер 5-я линия";"59,73337918";"30,3959923";"Остановка";"371"
"ВОКЗАЛ";"";"ул. Железнодорожная, Софийский бульвар";"59,72248851";"30,428791";"Остановка";"370,371,375,377,380,382,384"
"ГЕОЛОГИЧЕСКАЯ УЛ.";"ГЕОЛОГИЧЕСКАЯ УЛ.";"ул. Геологическая, ул. Спирина";"59,74768349";"30,0823765";"Остановка";"149"
"ПОС. ЮККИ,2 (ПОСАДКА)";"ПОС. ЮККИ,2 (ПОСАДКА)";"Ленинградское шоссе, Пионерская ул.";"60,11084329";"30,2834206";"Остановка";"148"
"ВОКЗАЛ";"ВОКЗАЛ";"ул. Железнодорожная, Ленинградская ул.";"59,72337353";"30,4284687";"Остановка";"373,382,383,545"
"ГУММОЛОСАРЫ";"ГУММОЛОСАРЫ";"Садовая ул., Вокзальная ул.(в Конной Лахте и в Зеленогорске)";"59,69095688";"30,4164181";"Остановка";"373"
"УЛ. МОЛДАГУЛОВОЙ";"УЛ. МОЛДАГУЛОВОЙ";"Большеохтинский проспект, ул. Молдагуловой";"59,94776724";"30,4093933";"Остановка";"105,181"
"УЛ. ХАЗОВА, УГ. ЖЕЛЕЗНОДОРОЖНОЙ УЛ.";"УЛ. ХАЗОВА, УГ. ЖЕЛЕЗНОДОРОЖНОЙ УЛ.";"ул. Железнодорожная, ул. Генерала Хазова";"59,73882146";"30,4190941";"Остановка";"376,381"
"КОНТРОЛЬНЫЙ ПУНКТ №2";"КОНТРОЛЬНЫЙ ПУНКТ №2";"";"59,79542573";"30,2878494";"Остановка";"39"
"ДЕТСКОСЕЛЬСКИЙ БУЛЬВАР, 1";"ДЕТСКОСЕЛЬСКИЙ БУЛЬВАР, 1";"Петербургское шоссе, Детскосельский бульвар";"59,74017414";"30,3945198";"Остановка";"377"
"УЛ. МАТРОСА ЖЕЛЕЗНЯКА";"УЛ. МАТРОСА ЖЕЛЕЗНЯКА";"ул. Матроса Железняка, Коломяжский проспект";"59,99288009";"30,300909";"Остановка";"79,122"
"НОВОСИБИРСКАЯ УЛ.";"НОВОСИБИРСКАЯ УЛ.";"Новосибирская ул., ул. Матроса Железняка";"59,99363839";"30,3023796";"Остановка";"79,122"
"ЛАНСКОЕ ШОССЕ";"ЛАНСКОЕ ШОССЕ";"набережная Чёрной речки, Ланское шоссе";"59,99004824";"30,3011646";"Остановка";"79,122"
