Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
""СТ. МЕТРО "КИРОВСКИЙ ЗАВОД"";""СТ. МЕТРО "КИРОВСКИЙ ЗАВОД"";"Стачек пр., Новостроек ул.";"59,87888588";"30,2603722";"Остановка";"1М,1МБ,2,66,72"
""СТ. МЕТРО "КОМЕНДАНТСКИЙ ПРОСПЕКТ"";""СТ. МЕТРО "КОМЕНДАНТСКИЙ ПРОСПЕКТ"";"Гаккелевская ул., Ильюшина ул.";"60,00650644";"30,258173";"Остановка";"5М,5МА,125,172"
""СТ. МЕТРО "КОМЕНДАНТСКИЙ ПРОСПЕКТ" "";""СТ. МЕТРО "КОМЕНДАНТСКИЙ ПРОСПЕКТ"";"Комендантский пр., Ильюшина ул.";"60,00882476";"30,2578678";"Остановка";"127"
""СТ. МЕТРО "КУПЧИНО" "";""СТ. МЕТРО "КУПЧИНО"";"Балканская площадь, ул. Ярослава Гашека";"59,8295743";"30,3810196";"Остановка";"2М,2МА,50,53,54,56,74,96,157,159,326"
""СТ. МЕТРО "ЛЕНИНСКИЙ ПР." [114, 130, 142]<"";""СТ. МЕТРО "ЛЕНИНСКИЙ ПР."";"Ленинский пр., Новаторов бул.";"59,85168025";"30,2699604";"Остановка";"26,73,114,130"
""СТ. МЕТРО "ЛЕСНАЯ" [33, 137]<"";""СТ. МЕТРО "ЛЕСНАЯ"";"Кантемировская ул., Парголовская ул.";"59,98511158";"30,3443069";"Остановка";"33,60,137,185"
""СТ. МЕТРО "ЛИГОВСКИЙ ПР." [15, 65, 74, 3]<"";""СТ. МЕТРО "ЛИГОВСКИЙ ПР."";"Лиговский пр., Транспортный пер.";"59,92161074";"30,3545837";"Остановка";"3,4МБ,26,54,65,74,76,91,141"
""СТ. МЕТРО "ЛОМОНОСОВСКАЯ" "";""СТ. МЕТРО "ЛОМОНОСОВСКАЯ"";"Бабушкина ул., Полярников ул.";"59,87820035";"30,4412689";"Остановка";"3М,3МБ,8,95,97,118,118А,119"
""СТ. МЕТРО "МОСКОВСКАЯ"";""СТ. МЕТРО "МОСКОВСКАЯ"";"ул. Типанова, Демонстрационный проезд";"59,8534743";"30,3237114";"Остановка";"2М,2МА,31,39,59,114,141,150,156"
""СТ. МЕТРО "НЕВСКИЙ ПР."";""СТ. МЕТРО "НЕВСКИЙ ПР."";"Невский пр., Малая Конюшенная ул.";"59,93536908";"30,3248386";"Остановка";"3,3М,3МБ,4М,4МБ,5М,5МБ,7,7А,22,24,24А,27,135,135А,191,191А"
""СТ. МЕТРО "НОВОЧЕРКАССКАЯ"";""СТ. МЕТРО "НОВОЧЕРКАССКАЯ"";"Новочеркасский пр., Заневский пр.";"59,93021893";"30,4112167";"Остановка";"5,132,174"
""СТ. МЕТРО "ОЗЕРКИ"";""СТ. МЕТРО "ОЗЕРКИ"";"Энгельса пр., Выборгское ш.";"60,03658407";"30,3224754";"Остановка";"2М,2МБ,80,85,86,109,109А,123"
""СТ. МЕТРО "ПАРК ПОБЕДЫ" [50, 3, Э, 39, 72]<"";""СТ. МЕТРО "ПАРК ПОБЕДЫ"";"Московский пр., Бассейная ул.";"59,86565617";"30,3202686";"Остановка";"2М,2МА,3,26,50"
""СТ. МЕТРО "ПЕТРОГРАДСКАЯ" [1, 46А]<"";""СТ. МЕТРО "ПЕТРОГРАДСКАЯ"";"Каменноостровский пр., Льва Толстого пл.";"59,96658142";"30,3106556";"Остановка";"1,2М,2МБ,10,10А,25,46,46А,180,191,191А"
""СТ. МЕТРО "ПИОНЕРСКАЯ" "";""СТ. МЕТРО "ПИОНЕРСКАЯ"";"Коломяжский пр., Испытателей пр.";"60,00194446";"30,2978764";"Остановка";"2М,2МБ,79,93,122,170,172"
""СТ. МЕТРО "ПЛОЩАДЬ АЛ. НЕВСКОГО"";""СТ. МЕТРО "ПЛОЩАДЬ АЛ. НЕВСКОГО"";"Невский пр., Чернорецкий пер.";"59,92413695";"30,3840733";"Остановка";"4М,4МБ,24,24А,27,46,55,191,191А"
""СТ. МЕТРО "ПЛОЩАДЬ ВОССТАНИЯ"";""СТ. МЕТРО "ПЛОЩАДЬ ВОССТАНИЯ"";"Невский пр., Пушкинская ул.";"59,93135853";"30,357111";"Остановка";"3,3М,3МБ,7,7А,24,24А,27,135,135А,181,191,191А"
""СТ. МЕТРО "ПЛОЩАДЬ МУЖЕСТВА" ПОСАДКА"";""СТ. МЕТРО "ПЛОЩАДЬ МУЖЕСТВА" ПОСАДКА"";"Непокоренных пр., пл. Мужества";"59,99785999";"30,3659763";"Остановка";"40,80,123,138"
""СТ. МЕТРО "ПР. БОЛЬШЕВИКОВ" [118, 140]<"";""СТ. МЕТРО "ПР. БОЛЬШЕВИКОВ"";"Коллонтай ул., Большевиков пр.";"59,91978955";"30,4715309";"Остановка";"4М,4МА,12,118,118А,140,161,164"
""СТ. МЕТРО "ПР. ПРОСВЕЩЕНИЯ" [143, 555, 435]<"";""СТ. МЕТРО "ПР. ПРОСВЕЩЕНИЯ"";"Хошимина ул., Просвещения пр.";"60,05298502";"30,3294525";"Остановка";"75,148,173,435,436,555,567"
""СТ. МЕТРО "ПРИМОРСКАЯ" [7]<"";""СТ. МЕТРО "ПРИМОРСКАЯ"";"Новосмоленская наб., Наличная ул.";"59,94861209";"30,2307281";"Остановка";"7,7А,47,152"
""СТ. МЕТРО "ПРИМОРСКАЯ"";""СТ. МЕТРО "ПРИМОРСКАЯ"";"Наличная ул., Одоевского ул.";"59,94882416";"30,2323742";"Остановка";"1,3М,3МА,6,41,100,158"
""СТ. МЕТРО "ПРОЛЕТАРСКАЯ" [11, 48, 115, 115, А]<"";""СТ. МЕТРО "ПРОЛЕТАРСКАЯ"";"Чернова ул., Обуховской обороны пр.";"59,86351987";"30,4692554";"Остановка";"51,53,97,115,115А,117,189,327"
""СТ. МЕТРО "ПУШКИНСКАЯ" [Э, 39]<"";""СТ. МЕТРО "ПУШКИНСКАЯ"";"Загородный пр., Винокурцевский проезд";"59,92026197";"30,3280888";"Остановка";"1М,1МБ,4М,4МБ,5М,5МБ"
""СТ. МЕТРО "РЫБАЦКОЕ" "";""СТ. МЕТРО "РЫБАЦКОЕ"";"Тепловозная ул., Прибрежная ул.";"59,83201484";"30,5018864";"Остановка";"51,115,115А,189,327"
""СТ. МЕТРО "СЕННАЯ ПЛОЩАДЬ" [49]<"";""СТ. МЕТРО "СЕННАЯ ПЛОЩАДЬ"";"Садовая ул., Спасский пер.";"59,92786773";"30,3211327";"Остановка";"2М,2МА,4М,4МБ,5М,5МБ,49,181"
""СТ. МЕТРО "СПОРТИВНАЯ" [1]<"";""СТ. МЕТРО "СПОРТИВНАЯ"";"Большой пр. П.С., Ждановская наб.";"59,95150562";"30,2887058";"Остановка";"1,128"
""СТ. МЕТРО "ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ" [Э, 39, 70, 71]<"";""СТ. МЕТРО "ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ"";"Московский пр., Загородный пр.";"59,91761564";"30,3182163";"Остановка";"71"
""СТ. МЕТРО "УЛ.ДЫБЕНКО"";""СТ. МЕТРО "УЛ.ДЫБЕНКО"";"Большевиков пр., Дыбенко ул.";"59,90622338";"30,48279";"Остановка";"4,97,140,467"
""СТ. МЕТРО "ФРУНЗЕНСКАЯ" [Э, 39]<"";""СТ. МЕТРО "ФРУНЗЕНСКАЯ"";"Московский пр., Смоленская ул.";"59,90557609";"30,3180962";"Остановка";"2М,2МА"
""СТ. МЕТРО "ЧЁРНАЯ РЕЧКА"";""СТ. МЕТРО "ЧЁРНАЯ РЕЧКА"";"Торжковская ул., Чёрной речки наб.";"59,98692234";"30,3038006";"Остановка";"1,46А,79,94,122"
""СТ. МЕТРО "ЧЕРНЫШЕВСКАЯ" "";""СТ. МЕТРО "ЧЕРНЫШЕВСКАЯ"";"Кирочная ул., Мелитопольский пер.";"59,94375819";"30,3616257";"Остановка";"22,46,105"
""СТ. МЕТРО "ЭЛЕКТРОСИЛА"";""СТ. МЕТРО "ЭЛЕКТРОСИЛА"";"Московский пр., Мариинская ул.";"59,88110346";"30,3194942";"Остановка";"12,29,95,159"
""СТ. МЕТРО "ЭЛЕКТРОСИЛА" [3, 50]<"";""СТ. МЕТРО "ЭЛЕКТРОСИЛА"";"Московский пр., Мариинская ул.";"59,87950627";"30,3194294";"Остановка";"2М,2МА,3,26,50,62,64,64А"
"СТАРОДЕРЕВЕНСКАЯ УЛ. [93, 154]<";"СТАРОДЕРЕВЕНСКАЯ УЛ.";"Савушкина ул., Стародеревенская улица";"59,98430183";"30,2436981";"Остановка";"32,93,110,120,211,216"
"СТАРОДЕРЕВЕНСКАЯ УЛ. УГ. УЛ. ИЛЬЮШИНА [134, 172]<";"СТАРОДЕРЕВЕНСКАЯ УЛ. УГ. УЛ. ИЛЬЮШИНА";"Ильюшина ул., Стародеревенская ул.";"60,00798486";"30,2496204";"Остановка";"125,134А,172"
"СТАРООБРЯДЧЕСКИЙ МОСТ";"СТАРООБРЯДЧЕСКИЙ МОСТ";"Расстанный пер., Реки Волковки наб";"59,90485344";"30,3630085";"Остановка";"5М,5МБ,74,91,141"
"СТАРО-ПЕТЕРГОФСКИЙ ПР. [65, 70, 70, 71, 49]<";"СТАРО-ПЕТЕРГОФСКИЙ ПР.";"Обводного канала наб., Старо-Петергофский пр.";"59,90891172";"30,2778397";"Остановка";"70"
"СТАРО-ПЕТЕРГОФСКИЙ ПР.,27 [2, 6, 66]<";"СТАРО-ПЕТЕРГОФСКИЙ ПР.,27";"Старо-Петергофский пр., Обводного канала наб.";"59,90748367";"30,2753868";"Остановка";"1М,1МБ,2,6,35,66"
"СТАХАНОВСКАЯ УЛ.";"СТАХАНОВСКАЯ УЛ.";"ул. Володарского, Стахановская ул.";"59,74405981";"30,5944557";"Остановка";"196,327,332,361,374,390"
"СТУДЕНЧЕСКАЯ УЛ. [33]<";"СТУДЕНЧЕСКАЯ УЛ.";"Ланское ш., Ланская ул.";"59,99664753";"30,3236027";"Остановка";"94,98"
"СУВОРОВСКАЯ ПЛОЩАДЬ [49]<";"СУВОРОВСКАЯ ПЛОЩАДЬ";"Миллионная ул., Лебяжьего канала наб.";"59,94564305";"30,3316174";"Остановка";"2М,2МА,46,49"
"СУВОРОВСКИЙ ПР. [24, 27, 15]<";"СУВОРОВСКИЙ ПР.";"Невский пр., Суворовский пр.";"59,92999306";"30,3672943";"Остановка";"3М,3МБ,4М,4МБ,24,24А,27,191,191А"
"СУВОРОВСКИЙ ПР. УГ. ТУЛЬСКОЙ УЛ. [136, 22]<";"СУВОРОВСКИЙ ПР. УГ. ТУЛЬСКОЙ УЛ.";"Тульская ул., Ярославская ул.";"59,9442508";"30,3879452";"Остановка";"22,105,136,181"
""СУПЕРМАРКЕТ "О' КЕЙ" [13, 13А, 39, 90, 187]<"";""СУПЕРМАРКЕТ "О' КЕЙ"";"Пулковское ш.";"59,82779956";"30,3231163";"Остановка";"13,13А,39,90,155,187"
""ГИПЕРМАРКЕТ "ЛЕНТА"";""ГИПЕРМАРКЕТ "ЛЕНТА"";"Савушкина ул., Приморское ш.";"59,98550107";"30,2265339";"Остановка";"32,93,101,101А,110,120,134А,170,211,216"
"РАБОЧАЯ УЛ. [20, 145, 165]<";"РАБОЧАЯ УЛ.";"Таллиннское ш.";"59,81362228";"30,1732655";"Остановка";"20,81,108,145,145А,165,195"
"ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА";"ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА";"ул. Ижорского батальона, ул. Тверская";"59,73539303";"30,6122227";"Остановка";"192,326,368,386"
"ТЕАТР ЗА ЧЁРНОЙ РЕЧКОЙ [93, 172]<";"ТЕАТР ЗА ЧЁРНОЙ РЕЧКОЙ";"Богатырский пр.";"59,99969397";"30,2908001";"Остановка";"93,170,172"
"ТЕЛЕЗИ [482, 482а, 482в, 484, 484б]<";"ТЕЛЕЗИ";"Таллинское ш.";"59,70086539";"29,9757786";"Остановка";"481,482,482А,482В,484,484Б,547"
"ТЕШКОВО [487, 487, 487а]<";"ТЕШКОВО";"Таллинское ш.";"59,58971551";"29,4158764";"Остановка";"487"
""ТК "ЛЕНТА"";""ТК "ЛЕНТА"";"Железнодорожная улица";"59,80262377";"30,3954582";"Остановка";"179,192,196"
"ТОВАРИЩЕСКИЙ ПР. [12, 118, 140]<";"ТОВАРИЩЕСКИЙ ПР.";"Коллонтай ул., Товарищеский пр.";"59,92172712";"30,4797268";"Остановка";"12,118А,140,164"
""ТОРГОВЫЙ КОМПЛЕКС "ЛЕНТА" [13, 13А]<"";""ТОРГОВЫЙ КОМПЛЕКС "ЛЕНТА"";"Стартовая ул., Шереметьевская ул.";"59,81011565";"30,3184185";"Остановка";"13,13А"
"ТОРГОВЫЙ ЦЕНТР [123, 136]<";"ТОРГОВЫЙ ЦЕНТР";"Энергетиков пр., Большая Пороховская ул.";"59,95512047";"30,4375839";"Остановка";"82,123,136"
""ТОРГОВЫЙ ЦЕНТР "МЕТРО" [13, 13А, 39, 90, 187]<"";""ТОРГОВЫЙ ЦЕНТР "МЕТРО"";"Пулковское ш.";"59,82378631";"30,3233452";"Остановка";"13,13А,39,90,150,155,187"
"ТОРФЯНАЯ УЛ. [398]<";"ТОРФЯНАЯ УЛ.";"1-го Мая ул., Торфяная ул.";"60,07847574";"30,2466393";"Остановка";"397,398"
"ТРАМВАЙНЫЙ ПР. [20, 200, 210, 145, 482, 482а, 482в, 484, 484б, 229]<";"ТРАМВАЙНЫЙ ПР.";"Стачек пр., Трамвайный пр.";"59,85921597";"30,2546482";"Остановка";"1М,1МБ,2А,18,20,26,73,83,108,145,145А,160,200,210,229,300,481,482,482А,482В,484,484Б,487"
""ТРЦ "ПУЛКОВО-III" [39, 90, 187]<"";""ТРЦ "ПУЛКОВО-III"";"Пулковское ш., Внуковская ул.";"59,80430367";"30,3244934";"Остановка";"39,90,150,155,187"
"ТУРИСТСКАЯ УЛ. ПО УЛ. САВУШКИНА [134]<";"ТУРИСТСКАЯ УЛ. ПО УЛ. САВУШКИНА";"Савушкина ул., Туристская ул.";"59,98841871";"30,2039433";"Остановка";"101,101А,110,120,134А,134Ш,211,216"
"УЛ. 2-Й ЛУЧ [58]<";"УЛ. 2-Й ЛУЧ";"2-й луч ул., Фаянсовая ул.";"59,91134644";"30,3972931";"Остановка";"58"
"УЛ. АВАНГАРДНАЯ [229]<";"УЛ. АВАНГАРДНАЯ";"проспект Ветеранов, Авангардная улица";"59,8331029";"30,1817074";"Остановка";"229"
"УЛ. АВРОВА,УГ. С-ПЕТЕРБУРГС. ПР. [351, 356, 356Б, 355]<";"УЛ. АВРОВА,УГ. С-ПЕТЕРБУРГС. ПР.";"Санкт-Петербургское ш., Аврова ул.";"59,87777875";"29,924015";"Остановка";"278"
"УЛ. АКАДЕМИКА БАЙКОВА [69, 98, 143]<";"УЛ. АКАДЕМИКА БАЙКОВА";"Светлановский пр., Академика Байкова ул.";"60,02490848";"30,3823452";"Остановка";"69,98"
"УЛ. АКАДЕМИКА ПАВЛОВА [1, 46А]<";"УЛ. АКАДЕМИКА ПАВЛОВА";"Каменноостровский пр., Академика Павлова ул.";"59,97614512";"30,3025684";"Остановка";"1,2М,2МБ,5М,5МА,46,46А,180"
"УЛ. АЛ. МАТРОСОВА [86]<";"УЛ. АЛ. МАТРОСОВА";"Большой Сампсониевский пр., Александра Матросова ул.";"59,9791456";"30,3372726";"Остановка";"86"
"УЛ. АНТОНОВА - ОВСЕЕНКО [118, 140, 12]<";"УЛ. АНТОНОВА - ОВСЕЕНКО";"Искровский пр., Антонова-Овсеенко ул.";"59,90799051";"30,4649124";"Остановка";"12,118,118А"
"УЛ. АСАФЬЕВА [86, 123]<";"УЛ. АСАФЬЕВА";"Композиторов ул., Асафьева ул.";"60,04823166";"30,318243";"Остановка";"80,86,123"
"УЛ. Б. КУНА,УГ. ПРАЖСКОЙ УЛ. [116]<";"УЛ. Б. КУНА,УГ. ПРАЖСКОЙ УЛ.";"Пражская ул., Белы Куна ул.";"59,87401834";"30,3889332";"Остановка";"57,116"
"УЛ. БАБУШКИНА [8, 12, 140]<";"УЛ. БАБУШКИНА";"Ивановская ул., Прямой пр.";"59,87589689";"30,446579";"Остановка";"8"
"УЛ. БАБУШКИНА,УГ. БУЛЬВАРА КРАСНЫХ ЗОРЬ [95]<";"УЛ. БАБУШКИНА,УГ. БУЛЬВАРА КРАСНЫХ ЗОРЬ";"Красных Зорь бул., Седова ул.";"59,87067921";"30,4407768";"Остановка";"97"
"УЛ. БАБУШКИНА,УГ. УЛ. ИВАНОВСКАЯ [119]<";"УЛ. БАБУШКИНА,УГ. УЛ. ИВАНОВСКАЯ";"Ивановская ул., Прямой пр.";"59,87589689";"30,446579";"Остановка";"5,12,97,118,118А,119,140,476"
"УЛ. БАБУШКИНА,УГ. УЛ. ЧЕРНОВА [115, 115, А]<";"УЛ. БАБУШКИНА,УГ. УЛ. ЧЕРНОВА";"Бабушкина ул., Грибакиных ул.";"59,86069068";"30,4687023";"Остановка";"51,189,327"
"УЛ. БАДАЕВА [12]<";"УЛ. БАДАЕВА";"Бадаева ул., Коллонтай ул.";"59,91686244";"30,4557495";"Остановка";"12"
"УЛ. БЕЛЫ КУНА,УГ.СОФИЙСКОЙ УЛ. [12, 114]<";"УЛ. БЕЛЫ КУНА,УГ.СОФИЙСКОЙ УЛ.";"Софийская ул., Белы Куна ул.";"59,87716861";"30,3980885";"Остановка";"12,91,114,117,141"
"УЛ. БЕСТУЖЕВСКАЯ [132, 133]<";"УЛ. БЕСТУЖЕВСКАЯ";"Пискаревский пр., Бестужевская ул.";"59,98050906";"30,4218712";"Остановка";"103,132,133"
"УЛ. БРАТЬЕВ РАДЧЕНКО";"УЛ. БРАТЬЕВ РАДЧЕНКО";"пр. Ленина, ул. Братьев Радченко";"59,7503124";"30,5813656";"Остановка";"192,196,325,336,337,337А,361,367,374,386,389,394"
"УЛ. БУРЦЕВА [20, 229]<";"УЛ. БУРЦЕВА";"Маршала Жукова пр., Бурцева ул.";"59,8367135";"30,2000294";"Остановка";"20,108,229"
"УЛ. БУТЛЕРОВА [123, 138, 102, 103, 153]<";"УЛ. БУТЛЕРОВА";"Непокоренных пр., Бутлерова ул.";"59,99506273";"30,3900127";"Остановка";"80,123,138"
"УЛ. В. СЛУЦКОЙ,91";"УЛ. В. СЛУЦКОЙ,91";"ул. Веры Слуцкой";"59,73268377";"30,5780125";"Остановка";"196,327,332,336,337,337А,361,362,364,374,389,390,475"
"УЛ. В. СЛУЦКОЙ,УГ. ЗАВОДСКОГО ПР.";"УЛ. В. СЛУЦКОЙ,УГ. ЗАВОДСКОГО ПР.";"Заводской переулок, ул. Веры Слуцкой";"59,73060778";"30,5760345";"Остановка";"196,327,332,336,337,337А,361,362,364,374,389,475,540"
"УЛ. ВАВИЛОВА";"УЛ. ВАВИЛОВА";"Пролетарская ул., ул. Вавилова";"59,74106214";"30,5862465";"Остановка";"196,326,327,361,366,374,386,390"
"УЛ. ВАВИЛОВЫХ УГ. ПР. НАУКИ [40]<";"УЛ. ВАВИЛОВЫХ УГ. ПР. НАУКИ";"Вавиловых ул., Науки пр.";"60,01713383";"30,3866348";"Остановка";"40,94,176"
